time,open,high,low,close,tick_volume,spread,real_volume
2023-09-22 00:00:00,157.186,157.311,157.186,157.299,602,24,0
2023-09-22 01:00:00,157.299,157.353,157.266,157.32,1449,1,0
2023-09-22 02:00:00,157.319,157.417,157.245,157.394,3138,1,0
2023-09-22 03:00:00,157.394,157.45,157.221,157.317,6957,1,0
2023-09-22 04:00:00,157.316,157.324,157.117,157.271,9790,1,0
2023-09-22 05:00:00,157.271,157.728,157.197,157.629,10681,1,0
2023-09-22 06:00:00,157.63,157.843,157.542,157.76,9686,1,0
2023-09-22 07:00:00,157.762,157.97,157.614,157.71,5838,1,0
2023-09-22 08:00:00,157.709,157.746,157.61,157.696,6004,1,0
2023-09-22 09:00:00,157.699,158.197,157.682,158.108,13155,1,0
2023-09-22 10:00:00,158.109,158.283,157.408,157.836,21379,1,0
2023-09-22 11:00:00,157.837,157.982,157.792,157.873,10510,1,0
2023-09-22 12:00:00,157.873,157.919,157.609,157.781,7972,1,0
2023-09-22 13:00:00,157.78,157.819,157.596,157.678,7010,1,0
2023-09-22 14:00:00,157.678,157.779,157.678,157.692,6106,1,0
2023-09-22 15:00:00,157.692,158.05,157.692,157.972,9385,1,0
2023-09-22 16:00:00,157.972,158.01,157.764,157.983,11807,1,0
2023-09-22 17:00:00,157.983,158.103,157.82,157.824,11524,1,0
2023-09-22 18:00:00,157.826,158.1,157.803,158.009,7322,1,0
2023-09-22 19:00:00,158.012,158.082,157.98,158.017,4617,1,0
2023-09-22 20:00:00,158.02,158.067,157.98,157.991,6085,1,0
2023-09-22 21:00:00,157.991,158.008,157.859,157.984,5681,1,0
2023-09-22 22:00:00,157.985,158.044,157.928,157.938,5906,1,0
2023-09-22 23:00:00,157.938,158.005,157.898,157.93,3106,1,0
