time,open,high,low,close,tick_volume,spread,real_volume
2023-09-26 00:00:00,157.699,157.705,157.567,157.645,1444,19,0
2023-09-26 01:00:00,157.644,157.711,157.602,157.64,2236,1,0
2023-09-26 02:00:00,157.64,157.675,157.597,157.622,2333,1,0
2023-09-26 03:00:00,157.621,157.623,157.381,157.584,6675,1,0
2023-09-26 04:00:00,157.584,157.669,157.513,157.657,8287,1,0
2023-09-26 05:00:00,157.656,157.689,157.538,157.543,6957,1,0
2023-09-26 06:00:00,157.541,157.608,157.514,157.595,5468,1,0
2023-09-26 07:00:00,157.595,157.716,157.572,157.701,3460,1,0
2023-09-26 08:00:00,157.703,157.719,157.558,157.717,5524,1,0
2023-09-26 09:00:00,157.717,157.806,157.625,157.69,9145,1,0
2023-09-26 10:00:00,157.69,157.81,157.538,157.588,13529,1,0
2023-09-26 11:00:00,157.588,157.804,157.494,157.782,12348,1,0
2023-09-26 12:00:00,157.783,157.923,157.731,157.747,9828,1,0
2023-09-26 13:00:00,157.744,157.856,157.73,157.762,6999,1,0
2023-09-26 14:00:00,157.761,157.833,157.732,157.82,8221,1,0
2023-09-26 15:00:00,157.819,157.879,157.797,157.809,11544,1,0
2023-09-26 16:00:00,157.808,157.864,157.651,157.753,11800,1,0
2023-09-26 17:00:00,157.762,157.786,157.469,157.525,13180,1,0
2023-09-26 18:00:00,157.525,157.551,157.371,157.433,8321,1,0
2023-09-26 19:00:00,157.433,157.531,157.363,157.4,5692,1,0
2023-09-26 20:00:00,157.401,157.473,157.347,157.389,3708,1,0
2023-09-26 21:00:00,157.39,157.516,157.32,157.513,3705,1,0
2023-09-26 22:00:00,157.512,157.59,157.466,157.535,3980,1,0
2023-09-26 23:00:00,157.535,157.619,157.535,157.59,2331,1,0
2023-09-27 00:00:00,157.43,157.536,157.427,157.483,1171,34,0
