time,open,high,low,close,tick_volume,spread,real_volume
2023-11-13 00:00:00,161.929,161.929,161.814,161.861,3531,61,0
2023-11-13 01:00:00,161.861,161.949,161.861,161.925,2775,1,0
2023-11-13 02:00:00,161.924,161.998,161.879,161.984,6893,1,0
2023-11-13 03:00:00,161.984,162.055,161.938,161.976,5492,1,0
2023-11-13 04:00:00,161.977,162.048,161.963,162.044,4585,1,0
2023-11-13 05:00:00,162.044,162.08,161.99,162.072,3996,1,0
2023-11-13 06:00:00,162.071,162.179,162.068,162.147,4132,1,0
2023-11-13 07:00:00,162.148,162.205,162.133,162.184,3912,1,0
2023-11-13 08:00:00,162.184,162.267,162.157,162.223,4691,1,0
2023-11-13 09:00:00,162.226,162.303,162.217,162.259,8294,1,0
2023-11-13 10:00:00,162.26,162.366,162.23,162.307,12909,1,0
2023-11-13 11:00:00,162.307,162.35,162.202,162.243,11411,1,0
2023-11-13 12:00:00,162.242,162.337,162.184,162.285,7587,1,0
2023-11-13 13:00:00,162.286,162.297,162.121,162.161,7534,1,0
2023-11-13 14:00:00,162.159,162.167,161.96,162.009,9166,1,0
2023-11-13 15:00:00,162.008,162.038,161.901,162.018,13503,1,0
2023-11-13 16:00:00,162.019,162.204,162.008,162.165,12949,1,0
2023-11-13 17:00:00,162.165,162.181,161.538,162.14,27867,1,0
2023-11-13 18:00:00,162.139,162.184,162.034,162.171,10689,1,0
2023-11-13 19:00:00,162.169,162.244,162.141,162.187,7617,1,0
2023-11-13 20:00:00,162.185,162.297,162.141,162.26,6688,1,0
2023-11-13 21:00:00,162.262,162.303,162.195,162.242,6105,1,0
2023-11-13 22:00:00,162.241,162.305,162.226,162.248,5168,1,0
2023-11-13 23:00:00,162.247,162.341,162.241,162.333,2560,1,0
2023-11-14 00:00:00,162.305,162.341,162.266,162.275,3289,20,0
