time,open,high,low,close,tick_volume,spread,real_volume
2023-12-14 00:00:00,155.373,155.407,154.617,155.105,6565,1,0
2023-12-14 01:00:00,155.107,155.447,154.874,155.396,15838,1,0
2023-12-14 02:00:00,155.397,155.566,154.89,154.917,24324,1,0
2023-12-14 03:00:00,154.916,155.169,154.716,155.084,22968,1,0
2023-12-14 04:00:00,155.086,155.15,154.592,154.77,20027,1,0
2023-12-14 05:00:00,154.768,154.781,153.856,154.218,26180,1,0
2023-12-14 06:00:00,154.217,154.577,154.174,154.462,18497,1,0
2023-12-14 07:00:00,154.461,154.618,154.027,154.063,18074,1,0
2023-12-14 08:00:00,154.059,154.624,154.057,154.333,18669,1,0
2023-12-14 09:00:00,154.33,154.767,154.182,154.529,30691,1,0
2023-12-14 10:00:00,154.528,154.677,154.27,154.656,33730,1,0
2023-12-14 11:00:00,154.657,154.898,154.173,154.278,26361,1,0
2023-12-14 12:00:00,154.276,154.592,154.269,154.506,19838,1,0
2023-12-14 13:00:00,154.505,154.596,154.294,154.575,19691,1,0
2023-12-14 14:00:00,154.575,155.026,154.559,154.732,25251,1,0
2023-12-14 15:00:00,154.73,155.406,154.684,155.255,53686,1,0
2023-12-14 16:00:00,155.254,155.883,154.95,155.729,50043,1,0
2023-12-14 17:00:00,155.731,156.015,155.574,155.759,34012,1,0
2023-12-14 18:00:00,155.76,155.838,155.541,155.644,24440,1,0
2023-12-14 19:00:00,155.644,155.913,155.627,155.831,18351,1,0
2023-12-14 20:00:00,155.83,155.956,155.697,155.794,14065,1,0
2023-12-14 21:00:00,155.796,156.055,155.774,156.001,12966,1,0
2023-12-14 22:00:00,156.003,156.064,155.825,155.881,11544,1,0
2023-12-14 23:00:00,155.881,156.065,155.842,155.963,7686,1,0
2023-12-15 00:00:00,155.95,156.064,155.928,155.999,1773,29,0
