time,open,high,low,close,tick_volume,spread,real_volume
2023-09-15 00:00:00,156.85,156.945,156.842,156.886,820,41,0
2023-09-15 01:00:00,156.887,156.955,156.869,156.93,1927,1,0
2023-09-15 02:00:00,156.931,156.95,156.829,156.83,2601,1,0
2023-09-15 03:00:00,156.829,156.959,156.797,156.934,7930,1,0
2023-09-15 04:00:00,156.935,156.947,156.721,156.802,6720,1,0
2023-09-15 05:00:00,156.803,156.982,156.801,156.972,7886,1,0
2023-09-15 06:00:00,156.972,157.025,156.943,157.022,5102,1,0
2023-09-15 07:00:00,157.023,157.062,156.915,157.046,3403,1,0
2023-09-15 08:00:00,157.046,157.308,156.96,157.083,8381,1,0
2023-09-15 09:00:00,157.084,157.451,157.032,157.37,10637,1,0
2023-09-15 10:00:00,157.369,157.584,157.366,157.566,11839,1,0
2023-09-15 11:00:00,157.566,157.646,157.528,157.623,8414,1,0
2023-09-15 12:00:00,157.623,157.646,157.526,157.619,6036,1,0
2023-09-15 13:00:00,157.621,157.743,157.621,157.661,5826,1,0
2023-09-15 14:00:00,157.661,157.665,157.462,157.474,5924,1,0
2023-09-15 15:00:00,157.476,157.618,157.421,157.571,10301,1,0
2023-09-15 16:00:00,157.569,157.703,157.555,157.663,13258,1,0
2023-09-15 17:00:00,157.635,157.828,157.528,157.694,19614,1,0
2023-09-15 18:00:00,157.694,157.802,157.677,157.777,10781,1,0
2023-09-15 19:00:00,157.777,157.903,157.765,157.81,5817,1,0
2023-09-15 20:00:00,157.809,157.81,157.679,157.726,5152,1,0
2023-09-15 21:00:00,157.725,157.726,157.578,157.629,3365,1,0
2023-09-15 22:00:00,157.63,157.666,157.58,157.619,5547,1,0
2023-09-15 23:00:00,157.622,157.664,157.582,157.582,3002,1,0
