time,open,high,low,close,tick_volume,spread,real_volume
2023-09-20 00:00:00,157.85,157.889,157.751,157.821,2335,6,0
2023-09-20 01:00:00,157.821,157.848,157.78,157.848,1296,1,0
2023-09-20 02:00:00,157.849,157.853,157.768,157.826,1999,1,0
2023-09-20 03:00:00,157.825,157.935,157.799,157.856,6374,1,0
2023-09-20 04:00:00,157.857,157.985,157.825,157.91,7022,1,0
2023-09-20 05:00:00,157.91,157.98,157.899,157.932,4594,1,0
2023-09-20 06:00:00,157.931,157.937,157.814,157.861,3687,1,0
2023-09-20 07:00:00,157.861,157.888,157.847,157.867,3487,1,0
2023-09-20 08:00:00,157.864,158.01,157.856,157.965,4336,1,0
2023-09-20 09:00:00,157.963,158.178,157.814,158.029,10227,1,0
2023-09-20 10:00:00,158.029,158.433,157.938,158.37,11620,1,0
2023-09-20 11:00:00,158.371,158.41,158.296,158.4,7573,1,0
2023-09-20 12:00:00,158.4,158.417,158.235,158.317,5779,1,0
2023-09-20 13:00:00,158.316,158.368,158.203,158.267,5474,1,0
2023-09-20 14:00:00,158.267,158.31,158.185,158.261,5483,1,0
2023-09-20 15:00:00,158.261,158.291,158.132,158.182,7414,1,0
2023-09-20 16:00:00,158.184,158.321,158.167,158.302,9388,1,0
2023-09-20 17:00:00,158.304,158.423,158.227,158.325,10009,1,0
2023-09-20 18:00:00,158.326,158.333,158.212,158.29,5946,1,0
2023-09-20 19:00:00,158.29,158.449,158.281,158.386,5290,1,0
2023-09-20 20:00:00,158.385,158.397,158.18,158.18,3877,1,0
2023-09-20 21:00:00,158.177,158.373,157.996,158.174,35354,1,0
2023-09-20 22:00:00,158.173,158.194,157.906,157.94,12491,1,0
2023-09-20 23:00:00,157.939,158.151,157.92,158.134,3933,1,0
2023-09-21 00:00:00,158.0,158.053,157.948,158.019,1345,19,0
