time,open,high,low,close,tick_volume,spread,real_volume
2023-09-28 00:00:00,157.054,157.135,156.806,157.045,2291,9,0
2023-09-28 01:00:00,157.045,157.1,156.992,157.0,2348,1,0
2023-09-28 02:00:00,156.999,157.064,156.942,157.05,3565,1,0
2023-09-28 03:00:00,157.052,157.196,157.026,157.157,7076,1,0
2023-09-28 04:00:00,157.158,157.232,157.037,157.051,8117,1,0
2023-09-28 05:00:00,157.051,157.067,156.856,156.89,5443,1,0
2023-09-28 06:00:00,156.889,156.983,156.877,156.953,5054,1,0
2023-09-28 07:00:00,156.953,156.967,156.83,156.862,4697,1,0
2023-09-28 08:00:00,156.862,156.957,156.771,156.936,6442,1,0
2023-09-28 09:00:00,156.936,156.976,156.718,156.769,8739,1,0
2023-09-28 10:00:00,156.769,157.019,156.704,156.907,13113,1,0
2023-09-28 11:00:00,156.914,157.194,156.852,157.094,12696,1,0
2023-09-28 12:00:00,157.098,157.339,157.07,157.316,11863,1,0
2023-09-28 13:00:00,157.316,157.373,157.238,157.372,8726,1,0
2023-09-28 14:00:00,157.371,157.487,157.349,157.416,8428,1,0
2023-09-28 15:00:00,157.416,157.514,157.192,157.2,18768,1,0
2023-09-28 16:00:00,157.199,157.53,157.194,157.501,19365,1,0
2023-09-28 17:00:00,157.515,157.793,157.414,157.791,15864,1,0
2023-09-28 18:00:00,157.791,157.871,157.709,157.783,9653,1,0
2023-09-28 19:00:00,157.783,157.828,157.583,157.616,7452,1,0
2023-09-28 20:00:00,157.616,157.672,157.543,157.61,6588,1,0
2023-09-28 21:00:00,157.613,157.693,157.499,157.513,5952,1,0
2023-09-28 22:00:00,157.514,157.659,157.484,157.651,6093,1,0
2023-09-28 23:00:00,157.651,157.753,157.644,157.749,2469,1,0
2023-09-29 00:00:00,157.588,157.74,157.583,157.704,757,27,0
