time,open,high,low,close,tick_volume,spread,real_volume
2023-10-31 00:00:00,158.135,158.293,158.135,158.23,1530,28,0
2023-10-31 01:00:00,158.225,158.311,158.182,158.252,2485,1,0
2023-10-31 02:00:00,158.251,158.314,158.238,158.254,2169,1,0
2023-10-31 03:00:00,158.254,158.594,158.231,158.554,7835,1,0
2023-10-31 04:00:00,158.555,158.587,158.457,158.566,7837,1,0
2023-10-31 05:00:00,158.568,158.608,158.403,158.426,8649,1,0
2023-10-31 06:00:00,158.426,159.046,158.254,158.807,23367,1,0
2023-10-31 07:00:00,158.806,159.079,158.768,159.064,9926,1,0
2023-10-31 08:00:00,159.065,159.225,158.999,159.225,8167,1,0
2023-10-31 09:00:00,159.224,159.434,159.156,159.352,10069,1,0
2023-10-31 10:00:00,159.345,159.67,159.274,159.618,13710,1,0
2023-10-31 11:00:00,159.62,160.123,159.616,160.116,16425,1,0
2023-10-31 12:00:00,160.115,160.853,159.738,160.754,22080,1,0
2023-10-31 13:00:00,160.756,160.794,160.499,160.692,15503,1,0
2023-10-31 14:00:00,160.693,160.726,160.582,160.623,9490,1,0
2023-10-31 15:00:00,160.623,160.624,160.235,160.356,21913,1,0
2023-10-31 16:00:00,160.355,160.4,160.042,160.098,21813,1,0
2023-10-31 17:00:00,160.094,160.413,159.992,160.367,22808,1,0
2023-10-31 18:00:00,160.369,160.379,160.044,160.052,21981,1,0
2023-10-31 19:00:00,160.051,160.315,159.972,160.313,17203,1,0
2023-10-31 20:00:00,160.315,160.317,159.776,160.226,15708,1,0
2023-10-31 21:00:00,160.225,160.428,160.183,160.402,8751,1,0
2023-10-31 22:00:00,160.402,160.44,160.358,160.382,8737,1,0
2023-10-31 23:00:00,160.381,160.442,160.341,160.429,5099,1,0
2023-11-01 00:00:00,160.427,160.433,160.326,160.376,1743,35,0
