time,open,high,low,close,tick_volume,spread,real_volume
2023-12-28 00:03:00,157.511,157.511,157.376,157.376,2,73,0
2023-12-28 00:04:00,157.371,157.371,157.365,157.365,3,150,0
2023-12-28 00:05:00,157.367,157.386,157.36,157.386,57,107,0
2023-12-28 00:06:00,157.387,157.388,157.368,157.378,21,104,0
2023-12-28 00:07:00,157.364,157.364,157.333,157.336,28,130,0
2023-12-28 00:08:00,157.321,157.321,157.289,157.29,7,138,0
2023-12-28 00:09:00,157.292,157.319,157.292,157.319,4,150,0
2023-12-28 00:10:00,157.32,157.345,157.315,157.341,20,130,0
2023-12-28 00:11:00,157.341,157.346,157.333,157.333,5,129,0
2023-12-28 00:12:00,157.336,157.344,157.31,157.318,46,120,0
2023-12-28 00:13:00,157.315,157.318,157.305,157.306,15,144,0
2023-12-28 00:14:00,157.31,157.312,157.305,157.306,10,145,0
2023-12-28 00:15:00,157.305,157.316,157.301,157.304,10,140,0
2023-12-28 00:16:00,157.3,157.3,157.29,157.292,8,132,0
2023-12-28 00:17:00,157.293,157.3,157.287,157.288,19,126,0
2023-12-28 00:18:00,157.289,157.297,157.289,157.297,5,100,0
2023-12-28 00:19:00,157.292,157.293,157.291,157.292,10,100,0
2023-12-28 00:20:00,157.287,157.335,157.287,157.289,13,86,0
2023-12-28 00:21:00,157.29,157.29,157.281,157.283,6,120,0
2023-12-28 00:22:00,157.293,157.298,157.287,157.298,5,101,0
2023-12-28 00:23:00,157.292,157.297,157.282,157.293,29,76,0
2023-12-28 00:24:00,157.298,157.307,157.27,157.291,79,57,0
2023-12-28 00:25:00,157.29,157.292,157.282,157.284,21,57,0
2023-12-28 00:26:00,157.289,157.299,157.277,157.281,35,44,0
2023-12-28 00:27:00,157.28,157.305,157.28,157.286,38,44,0
2023-12-28 00:28:00,157.286,157.288,157.216,157.241,46,42,0
2023-12-28 00:29:00,157.241,157.248,157.221,157.234,29,35,0
2023-12-28 00:30:00,157.235,157.239,157.2,157.202,19,38,0
2023-12-28 00:31:00,157.201,157.208,157.194,157.202,43,49,0
2023-12-28 00:32:00,157.203,157.206,157.198,157.204,39,43,0
2023-12-28 00:33:00,157.205,157.22,157.198,157.218,66,40,0
2023-12-28 00:34:00,157.217,157.218,157.212,157.217,36,48,0
2023-12-28 00:35:00,157.215,157.224,157.214,157.221,13,48,0
2023-12-28 00:36:00,157.219,157.222,157.187,157.219,35,45,0
2023-12-28 00:37:00,157.22,157.228,157.2,157.215,48,47,0
2023-12-28 00:38:00,157.213,157.225,157.208,157.221,72,45,0
2023-12-28 00:39:00,157.216,157.226,157.216,157.226,20,44,0
2023-12-28 00:40:00,157.231,157.296,157.221,157.259,60,47,0
2023-12-28 00:41:00,157.258,157.261,157.229,157.252,51,50,0
2023-12-28 00:42:00,157.255,157.275,157.234,157.237,68,46,0
2023-12-28 00:43:00,157.242,157.243,157.23,157.235,21,51,0
2023-12-28 00:44:00,157.236,157.237,157.233,157.233,10,56,0
2023-12-28 00:45:00,157.233,157.236,157.233,157.235,12,53,0
2023-12-28 00:46:00,157.234,157.235,157.233,157.234,11,53,0
2023-12-28 00:47:00,157.236,157.236,157.23,157.233,12,54,0
2023-12-28 00:48:00,157.228,157.269,157.226,157.266,42,47,0
2023-12-28 00:49:00,157.265,157.276,157.255,157.259,50,54,0
2023-12-28 00:50:00,157.258,157.291,157.255,157.284,62,48,0
2023-12-28 00:51:00,157.283,157.285,157.272,157.273,38,61,0
