time,open,high,low,close,tick_volume,spread,real_volume
2023-12-08 00:03:00,155.569,155.637,155.569,155.637,5,150,0
2023-12-08 00:04:00,155.634,155.634,155.634,155.634,1,150,0
2023-12-08 00:05:00,155.618,155.618,155.587,155.587,60,57,0
2023-12-08 00:06:00,155.582,155.585,155.579,155.585,12,41,0
2023-12-08 00:07:00,155.583,155.587,155.579,155.584,4,41,0
2023-12-08 00:08:00,155.582,155.59,155.581,155.585,11,46,0
2023-12-08 00:09:00,155.59,155.619,155.578,155.604,21,40,0
2023-12-08 00:10:00,155.611,155.628,155.599,155.621,20,82,0
2023-12-08 00:11:00,155.619,155.623,155.597,155.597,15,77,0
2023-12-08 00:12:00,155.604,155.604,155.598,155.603,8,79,0
2023-12-08 00:13:00,155.604,155.61,155.598,155.605,11,91,0
2023-12-08 00:14:00,155.605,155.607,155.588,155.589,20,89,0
2023-12-08 00:15:00,155.594,155.595,155.591,155.595,16,95,0
2023-12-08 00:16:00,155.6,155.613,155.598,155.613,26,82,0
2023-12-08 00:17:00,155.614,155.618,155.613,155.616,7,80,0
2023-12-08 00:18:00,155.618,155.618,155.616,155.616,4,90,0
2023-12-08 00:19:00,155.613,155.615,155.607,155.608,31,92,0
2023-12-08 00:20:00,155.605,155.609,155.602,155.603,8,96,0
2023-12-08 00:21:00,155.627,155.645,155.61,155.61,28,69,0
2023-12-08 00:22:00,155.614,155.632,155.608,155.632,21,89,0
2023-12-08 00:23:00,155.631,155.632,155.631,155.632,2,86,0
2023-12-08 00:25:00,155.633,155.638,155.632,155.632,10,80,0
2023-12-08 00:26:00,155.633,155.634,155.599,155.608,24,85,0
2023-12-08 00:27:00,155.606,155.608,155.605,155.606,7,113,0
2023-12-08 00:28:00,155.605,155.605,155.605,155.605,1,112,0
2023-12-08 00:29:00,155.603,155.628,155.603,155.62,25,69,0
2023-12-08 00:30:00,155.623,155.629,155.62,155.626,40,66,0
2023-12-08 00:31:00,155.627,155.628,155.62,155.624,163,60,0
2023-12-08 00:32:00,155.623,155.627,155.614,155.627,49,44,0
2023-12-08 00:33:00,155.625,155.63,155.624,155.628,14,42,0
2023-12-08 00:34:00,155.628,155.628,155.628,155.628,2,52,0
2023-12-08 00:35:00,155.629,155.657,155.608,155.635,64,42,0
2023-12-08 00:36:00,155.635,155.635,155.635,155.635,1,79,0
2023-12-08 00:37:00,155.635,155.635,155.635,155.635,4,78,0
2023-12-08 00:38:00,155.635,155.636,155.634,155.634,24,71,0
2023-12-08 00:39:00,155.634,155.636,155.632,155.632,17,57,0
2023-12-08 00:40:00,155.632,155.635,155.629,155.632,33,49,0
2023-12-08 00:41:00,155.631,155.646,155.629,155.645,36,49,0
2023-12-08 00:42:00,155.648,155.657,155.638,155.641,63,35,0
2023-12-08 00:43:00,155.642,155.646,155.64,155.644,13,49,0
2023-12-08 00:44:00,155.646,155.655,155.645,155.654,15,39,0
2023-12-08 00:45:00,155.655,155.66,155.653,155.659,60,31,0
2023-12-08 00:46:00,155.659,155.661,155.658,155.66,37,28,0
2023-12-08 00:47:00,155.661,155.665,155.661,155.664,16,24,0
2023-12-08 00:48:00,155.664,155.666,155.664,155.665,11,27,0
2023-12-08 00:49:00,155.663,155.666,155.663,155.666,7,26,0
2023-12-08 00:50:00,155.665,155.666,155.664,155.665,33,26,0
