time,open,high,low,close,tick_volume,spread,real_volume
2023-12-08 00:00:00,155.569,155.716,155.569,155.691,1968,7,0
2023-12-08 01:00:00,155.7,155.725,155.235,155.638,13316,1,0
2023-12-08 02:00:00,155.637,155.702,154.387,154.623,38834,1,0
2023-12-08 03:00:00,154.621,155.004,153.867,154.679,41073,1,0
2023-12-08 04:00:00,154.679,154.87,154.342,154.773,22247,1,0
2023-12-08 05:00:00,154.773,155.564,154.77,155.17,23294,1,0
2023-12-08 06:00:00,155.169,155.326,154.907,154.974,20254,1,0
2023-12-08 07:00:00,154.975,155.363,154.87,155.218,16669,1,0
2023-12-08 08:00:00,155.217,155.516,155.116,155.416,17797,1,0
2023-12-08 09:00:00,155.415,155.629,155.13,155.317,25628,1,0
2023-12-08 10:00:00,155.316,155.568,155.017,155.353,29751,1,0
2023-12-08 11:00:00,155.351,155.693,155.311,155.499,25909,1,0
2023-12-08 12:00:00,155.496,155.829,155.393,155.763,17920,1,0
2023-12-08 13:00:00,155.762,155.999,155.741,155.754,16175,1,0
2023-12-08 14:00:00,155.754,155.774,155.56,155.604,15467,1,0
2023-12-08 15:00:00,155.6,155.807,154.834,154.975,50317,1,0
2023-12-08 16:00:00,154.974,155.433,154.96,155.042,40180,1,0
2023-12-08 17:00:00,155.048,155.615,154.892,155.611,35461,1,0
2023-12-08 18:00:00,155.609,155.704,155.439,155.673,17968,1,0
2023-12-08 19:00:00,155.672,155.834,155.625,155.756,16698,1,0
2023-12-08 20:00:00,155.755,155.99,155.724,155.911,10585,1,0
2023-12-08 21:00:00,155.911,155.964,155.845,155.962,8042,1,0
2023-12-08 22:00:00,155.963,156.093,155.944,156.066,8866,1,0
2023-12-08 23:00:00,156.066,156.073,155.972,156.019,4196,1,0
