time,open,high,low,close,tick_volume,spread,real_volume
2023-10-23 00:00:00,158.703,158.814,158.688,158.746,487,66,0
2023-10-23 01:00:00,158.745,158.796,158.651,158.735,3240,1,0
2023-10-23 02:00:00,158.734,158.759,158.7,158.726,3124,1,0
2023-10-23 03:00:00,158.726,158.727,158.565,158.66,7565,1,0
2023-10-23 04:00:00,158.659,158.662,158.591,158.622,5548,1,0
2023-10-23 05:00:00,158.622,158.624,158.513,158.528,4736,1,0
2023-10-23 06:00:00,158.527,158.595,158.527,158.564,3197,1,0
2023-10-23 07:00:00,158.563,158.593,158.546,158.581,3293,1,0
2023-10-23 08:00:00,158.58,158.635,158.569,158.593,3605,1,0
2023-10-23 09:00:00,158.595,158.716,158.507,158.671,7785,1,0
2023-10-23 10:00:00,158.672,158.861,158.581,158.859,14869,1,0
2023-10-23 11:00:00,158.86,159.031,158.819,158.978,12656,1,0
2023-10-23 12:00:00,158.977,159.164,158.812,158.88,11633,1,0
2023-10-23 13:00:00,158.881,159.038,158.781,159.036,10286,1,0
2023-10-23 14:00:00,159.035,159.087,158.95,158.956,9058,1,0
2023-10-23 15:00:00,158.956,159.17,158.885,159.087,13712,1,0
2023-10-23 16:00:00,159.088,159.13,158.812,159.022,15587,1,0
2023-10-23 17:00:00,159.021,159.335,159.014,159.287,22132,1,0
2023-10-23 18:00:00,159.286,159.476,159.275,159.458,13380,1,0
2023-10-23 19:00:00,159.46,159.666,159.409,159.624,10836,1,0
2023-10-23 20:00:00,159.626,159.739,159.588,159.71,11075,1,0
2023-10-23 21:00:00,159.71,159.779,159.646,159.647,8433,1,0
2023-10-23 22:00:00,159.648,159.668,159.478,159.607,9208,1,0
2023-10-23 23:00:00,159.608,159.739,159.568,159.721,3484,1,0
2023-10-24 00:00:00,159.666,159.747,159.59,159.726,1738,16,0
