time,open,high,low,close,tick_volume,spread,real_volume
2023-11-01 00:00:00,160.427,160.433,160.326,160.376,1743,35,0
2023-11-01 01:00:00,160.375,160.436,160.146,160.193,3934,1,0
2023-11-01 02:00:00,160.203,160.258,159.953,160.088,7253,1,0
2023-11-01 03:00:00,160.089,160.137,159.99,160.072,8453,1,0
2023-11-01 04:00:00,160.071,160.109,159.924,159.971,8042,1,0
2023-11-01 05:00:00,159.974,159.977,159.79,159.869,6701,1,0
2023-11-01 06:00:00,159.87,159.911,159.792,159.896,5214,1,0
2023-11-01 07:00:00,159.895,159.966,159.866,159.929,6267,1,0
2023-11-01 08:00:00,159.929,159.982,159.877,159.928,5996,1,0
2023-11-01 09:00:00,159.925,160.015,159.892,159.957,6822,1,0
2023-11-01 10:00:00,159.957,160.025,159.825,159.944,11064,1,0
2023-11-01 11:00:00,159.943,159.958,159.669,159.684,13284,1,0
2023-11-01 12:00:00,159.683,159.767,159.521,159.549,9782,1,0
2023-11-01 13:00:00,159.548,159.574,159.459,159.512,8272,1,0
2023-11-01 14:00:00,159.511,159.527,159.403,159.466,8850,1,0
2023-11-01 15:00:00,159.467,159.559,159.325,159.348,22661,1,0
2023-11-01 16:00:00,159.347,159.361,159.218,159.323,20107,1,0
2023-11-01 17:00:00,159.354,159.564,159.272,159.423,32657,1,0
2023-11-01 18:00:00,159.423,159.51,159.087,159.099,16995,1,0
2023-11-01 19:00:00,159.098,159.271,159.09,159.157,11210,1,0
2023-11-01 20:00:00,159.156,159.252,159.114,159.216,10364,1,0
2023-11-01 21:00:00,159.23,159.301,159.068,159.201,47876,1,0
2023-11-01 22:00:00,159.2,159.461,159.174,159.455,23704,1,0
2023-11-01 23:00:00,159.456,159.616,159.445,159.567,5882,1,0
2023-11-02 00:00:00,159.542,159.575,159.493,159.502,1106,32,0
