time,open,high,low,close,tick_volume,spread,real_volume
2023-12-26 00:00:00,156.849,156.849,156.708,156.784,794,89,0
2023-12-26 01:00:00,156.781,156.889,156.676,156.741,5421,1,0
2023-12-26 02:00:00,156.74,156.844,156.584,156.778,7157,1,0
2023-12-26 03:00:00,156.779,156.883,156.743,156.805,6968,1,0
2023-12-26 04:00:00,156.805,156.865,156.748,156.82,5500,1,0
2023-12-26 05:00:00,156.821,156.857,156.776,156.82,3501,1,0
2023-12-26 06:00:00,156.82,156.838,156.746,156.808,2737,1,0
2023-12-26 07:00:00,156.809,156.891,156.755,156.874,5981,1,0
2023-12-26 08:00:00,156.876,156.905,156.798,156.854,4340,1,0
2023-12-26 09:00:00,156.855,156.949,156.815,156.881,6242,1,0
2023-12-26 10:00:00,156.882,156.977,156.819,156.832,7154,1,0
2023-12-26 11:00:00,156.833,156.971,156.755,156.959,7194,1,0
2023-12-26 12:00:00,156.96,157.0,156.797,156.819,7081,1,0
2023-12-26 13:00:00,156.82,156.834,156.762,156.814,7353,1,0
2023-12-26 14:00:00,156.815,156.898,156.785,156.799,8561,1,0
2023-12-26 15:00:00,156.799,156.869,156.782,156.863,11815,1,0
2023-12-26 16:00:00,156.861,157.058,156.833,157.006,12822,1,0
2023-12-26 17:00:00,157.008,157.233,156.992,157.213,11139,1,0
2023-12-26 18:00:00,157.215,157.317,157.214,157.229,7266,1,0
2023-12-26 19:00:00,157.23,157.248,157.16,157.224,6340,1,0
2023-12-26 20:00:00,157.225,157.291,157.177,157.275,7148,1,0
2023-12-26 21:00:00,157.276,157.369,157.231,157.359,5738,1,0
2023-12-26 22:00:00,157.359,157.364,157.243,157.286,5736,1,0
2023-12-26 23:00:00,157.287,157.292,157.197,157.207,4032,1,0
2023-12-27 00:00:00,157.216,157.248,157.169,157.223,891,48,0
