time,open,high,low,close,tick_volume,spread,real_volume
2023-10-03 00:00:00,157.027,157.038,156.973,157.027,1044,23,0
2023-10-03 01:00:00,157.03,157.064,156.992,156.994,4363,1,0
2023-10-03 02:00:00,156.995,157.088,156.987,157.06,4751,1,0
2023-10-03 03:00:00,157.059,157.065,156.789,156.962,12607,1,0
2023-10-03 04:00:00,156.961,156.986,156.882,156.919,9813,1,0
2023-10-03 05:00:00,156.918,156.931,156.823,156.842,8335,1,0
2023-10-03 06:00:00,156.843,156.922,156.821,156.886,6215,1,0
2023-10-03 07:00:00,156.887,156.904,156.754,156.826,7387,1,0
2023-10-03 08:00:00,156.825,156.901,156.797,156.895,7703,1,0
2023-10-03 09:00:00,156.896,156.938,156.739,156.825,13154,1,0
2023-10-03 10:00:00,156.826,157.039,156.734,157.022,16651,1,0
2023-10-03 11:00:00,157.019,157.197,156.953,157.093,15558,1,0
2023-10-03 12:00:00,157.093,157.216,157.061,157.111,12878,1,0
2023-10-03 13:00:00,157.111,157.147,157.016,157.018,10760,1,0
2023-10-03 14:00:00,157.019,157.162,156.947,157.077,13763,1,0
2023-10-03 15:00:00,157.076,157.093,156.876,156.908,17327,1,0
2023-10-03 16:00:00,156.91,157.159,156.875,157.114,21082,1,0
2023-10-03 17:00:00,157.113,157.113,154.615,156.143,65217,1,0
2023-10-03 18:00:00,156.144,156.247,155.853,155.924,25068,1,0
2023-10-03 19:00:00,155.922,156.095,155.828,155.992,15531,1,0
2023-10-03 20:00:00,155.991,156.064,155.935,156.006,11554,1,0
2023-10-03 21:00:00,156.009,156.062,155.856,155.933,10569,1,0
2023-10-03 22:00:00,155.934,156.027,155.765,155.78,13210,1,0
2023-10-03 23:00:00,155.778,156.058,155.756,156.053,6200,1,0
2023-10-04 00:00:00,155.95,156.103,155.938,156.001,2037,17,0
